
################################ SETTINGS ###################################
#RUN ID: 1529519249.0195754
#Genetic Algorithm Parameters:
#Max gen: 		300
#Migrations Interval: 	50	with 2% migrating individual
#N Islands:	6 with pop size:	100
#INDPB:	0.07
#Tournament size:	 5
#CXPB:	0.5	MUTPB:	0.2
##############################################################################
N_INDIVIDUALS:10
IND:0
#fitness: 	(0.995, 880.0)AP:71
x:422.41654914701206, y:401.6466367445784, type:1, wire:19
x:312.5239123845057, y:422.11964073733924, type:1, wire:70
x:91.25175727547993, y:-9.98381134491234, type:1, wire:21
x:448.31605669574515, y:106.95707909025435, type:0, wire:95
x:265.65558141382496, y:-78.96274777541001, type:1, wire:39
x:-102.8414574338235, y:71.7811658704868, type:0, wire:33
x:32.82564150161487, y:-6.112086573106438, type:1, wire:29
x:-97.09356879958546, y:-171.2406090936775, type:0, wire:71
x:-50.25271108263756, y:80.10228116587626, type:1, wire:16
x:-291.4796817502154, y:-170.645303730533, type:1, wire:21
x:-115.12786912696465, y:441.10722714825965, type:0, wire:89
x:437.6099087772258, y:-2.8570759586656207, type:1, wire:63
x:-88.03758087244269, y:316.5390902254738, type:0, wire:92
x:363.188192599596, y:-247.6921192908062, type:1, wire:66
x:-423.88617147918404, y:-245.22776795331322, type:1, wire:70
x:-161.81216707076752, y:-388.35263605759883, type:0, wire:87
x:-359.3221694074634, y:76.03582133899293, type:0, wire:70
x:-363.6544784746516, y:251.59781073768016, type:0, wire:18
x:65.74782520427891, y:370.4675522263945, type:0, wire:88
x:-38.55624566455947, y:380.56400762225053, type:0, wire:84
x:-162.22774927352702, y:352.18863518643445, type:1, wire:27
x:166.02972001889162, y:170.09538543792445, type:0, wire:73
x:-445.3075405585647, y:-322.6245670019375, type:0, wire:62
x:186.00050968847953, y:330.4904033053536, type:0, wire:88
x:-373.05214984037286, y:-263.3387655288486, type:1, wire:21
x:-395.4438136774418, y:445.289004978454, type:0, wire:12
x:281.68390034753867, y:-39.848372461326626, type:1, wire:59
x:271.07467480498644, y:116.95457302708111, type:1, wire:96
x:171.255715352047, y:112.25927563995918, type:0, wire:46
x:-190.11560523391557, y:-67.87638723093984, type:1, wire:97
x:399.5040440906793, y:330.79762731549323, type:1, wire:9
x:19.459958605097405, y:178.46483859396486, type:1, wire:8
x:-447.1572655737614, y:-339.2294818564729, type:0, wire:7
x:194.17509048778928, y:-117.35366185867576, type:1, wire:0
x:402.0887094141394, y:-54.02785877416591, type:1, wire:87
x:98.69091439296952, y:-453.2058044075246, type:0, wire:63
x:-250.56655069365758, y:-184.12115076226732, type:1, wire:29
x:-54.4911625197425, y:-447.87641003864405, type:0, wire:12
x:-310.9184803001499, y:340.34113198362087, type:0, wire:6
x:130.69237618274698, y:272.26291678774635, type:1, wire:101
x:-477.49679489820517, y:-488.3501897717556, type:0, wire:27
x:-79.04992063148347, y:75.29027039214607, type:1, wire:86
x:-441.27496791109326, y:-53.70428938673232, type:1, wire:45
x:-72.1615025922298, y:192.44059297524686, type:1, wire:26
x:-476.2748686233638, y:242.45239861756284, type:1, wire:38
x:18.36416596944078, y:-443.4828037604317, type:1, wire:36
x:13.622554156504837, y:-90.18181399019082, type:0, wire:42
x:252.20351011497084, y:305.8956752855774, type:0, wire:6
x:307.8176738898158, y:-188.59641630375748, type:1, wire:41
x:106.45769801173088, y:73.24640279959948, type:1, wire:101
x:-240.72421803451724, y:137.22415141205863, type:0, wire:4
x:423.24092822731325, y:309.34829236469386, type:0, wire:16
x:267.72854047901103, y:-426.8392393447156, type:0, wire:98
