
################################ SETTINGS ###################################
#RUN ID: 1529578130.127105
#Genetic Algorithm Parameters:
#Max gen: 		500
#Migrations Interval: 	100	with 2% migrating individual
#N Islands:	4 with pop size:	300
#INDPB:	0.07
#Tournament size:	 3
#CXPB:	0.5	MUTPB:	0.25
##############################################################################
N_INDIVIDUALS:10
IND:0
#fitness: 	(1.0, 935.0, 28988.695223881146)
AP:84
x:284.34232483624356, y:316.8641463831291, type:0, wire:13
x:-148.96951068293654, y:367.111888116183, type:1, wire:40
x:283.83293897072645, y:-348.74605472202427, type:0, wire:40
x:-31.232006486526522, y:-403.3206157929861, type:0, wire:58
x:475.98159773052805, y:-98.55568754389923, type:0, wire:34
x:271.2033542263354, y:-145.52368015838226, type:1, wire:21
x:-192.41462348181628, y:-236.75320269263915, type:0, wire:21
x:283.3569191185826, y:-290.4873894959856, type:0, wire:97
x:-189.29337085828706, y:-165.2736441917382, type:0, wire:47
x:-45.213475939070804, y:383.5346968586638, type:0, wire:64
x:28.195685164870685, y:-130.0657757422989, type:0, wire:57
x:125.27799097370485, y:142.82442632919435, type:1, wire:38
x:-155.80676778009808, y:48.82260335571037, type:0, wire:6
x:-96.60432130689185, y:-171.1170176683642, type:0, wire:47
x:-292.7489888637516, y:150.50747902047613, type:0, wire:21
x:356.1765380383221, y:-51.66071940841607, type:0, wire:98
x:-431.8940195740573, y:-50.923062898859484, type:0, wire:25
x:-479.04245460172365, y:322.68474692388924, type:0, wire:97
x:227.6606045834627, y:-18.579645473824257, type:1, wire:7
x:112.09859462409912, y:-220.320292833803, type:1, wire:71
x:-110.66436872263742, y:188.253415793332, type:0, wire:79
x:-182.7152484399753, y:139.83279295137243, type:0, wire:34
x:-21.6749482276579, y:75.10681696077297, type:0, wire:47
x:-407.66843473417043, y:-214.360346653225, type:0, wire:73
x:24.17814367979941, y:229.72750005049136, type:1, wire:97
x:64.89118315212862, y:32.11378193806156, type:1, wire:40
x:-113.38903512028091, y:107.92387267451852, type:0, wire:37
x:224.50771125267286, y:417.9986162645371, type:1, wire:21
x:332.43358690547194, y:130.4682710261582, type:0, wire:65
x:210.99614027374048, y:328.4620404077872, type:0, wire:81
x:-393.7924419712051, y:236.76933856146485, type:0, wire:42
x:-434.79736509785045, y:-171.57693770940548, type:1, wire:101
x:-235.88581098328757, y:289.4401196075047, type:0, wire:6
x:-295.45693757420713, y:-215.9479755184011, type:0, wire:63
x:422.3330435710654, y:477.21680049173455, type:0, wire:40
x:197.49738039711974, y:-6.415355735043363, type:1, wire:58
x:446.4332299529926, y:-73.32196572760756, type:0, wire:97
x:-246.2427661125251, y:234.5251509209537, type:0, wire:40
x:165.56421742022619, y:-240.3748404720734, type:0, wire:21
x:398.9511496403684, y:-298.8971305283073, type:0, wire:40
x:-392.1227905191296, y:229.47925096842255, type:1, wire:55
