
################################ SETTINGS ###################################
#RUN ID: 1529581511.634093
#Genetic Algorithm Parameters:
#Max gen: 		500
#Migrations Interval: 	100	with 2% migrating individual
#N Islands:	4 with pop size:	300
#INDPB:	0.07
#Tournament size:	 3
#CXPB:	0.5	MUTPB:	0.25
##############################################################################
N_INDIVIDUALS:10
IND:0
#fitness: 	(1.0, 955.0, 27141.204853811705)
AP:100
x:190.18368952542272, y:-146.96566025178188, type:0, wire:43
x:-150.8448617398821, y:364.59990409070474, type:1, wire:100
x:-105.18296299744382, y:-419.35109351848814, type:1, wire:100
x:536.1343613150776, y:-56.975732025919726, type:0, wire:42
x:35.78427819969545, y:-19.76919914128004, type:0, wire:55
x:244.55141501482595, y:130.40150182032465, type:0, wire:43
x:-379.7469260808698, y:-426.11080856027377, type:0, wire:83
x:329.78275203852724, y:-173.43208698370267, type:1, wire:5
x:29.63627070724779, y:-367.3911701510243, type:0, wire:85
x:-310.58375178815436, y:75.91677179414955, type:0, wire:78
x:-40.09794775411627, y:370.67627788903656, type:0, wire:20
x:-389.7651529923857, y:-219.22199462460148, type:0, wire:94
x:55.76151176717857, y:460.88882205025436, type:0, wire:0
x:265.7769227091315, y:-86.47790619380699, type:0, wire:86
x:-465.73769224984136, y:-262.1705123029487, type:0, wire:23
x:17.823540012683143, y:-284.7514080949078, type:0, wire:8
x:44.91377528132805, y:470.80941660956074, type:0, wire:100
x:371.14292854334764, y:30.027738997892357, type:0, wire:62
x:-53.8016785778517, y:95.80459711300901, type:1, wire:47
x:431.76362599643346, y:357.7402177370537, type:1, wire:85
x:60.62332607808257, y:262.0688899237058, type:0, wire:85
x:-323.25746624438335, y:271.53796512605925, type:0, wire:20
x:-207.7045202061147, y:387.9433557780371, type:1, wire:100
x:-322.81328490789144, y:-251.45238975395807, type:0, wire:20
x:50.818201294160815, y:-160.548186505516, type:0, wire:62
x:467.1664388734513, y:461.12152442141826, type:0, wire:43
x:-101.69225625369512, y:-223.1907321903436, type:0, wire:5
x:-226.66226044210748, y:-3.0800873900157626, type:0, wire:86
x:-464.47028273556464, y:361.51545623967957, type:1, wire:89
x:-219.55957853668326, y:6.325461116697452, type:0, wire:20
x:302.6984798613806, y:303.26591033635907, type:0, wire:0
x:-10.379758932240403, y:92.43597652833837, type:1, wire:49
x:52.94686597870509, y:-370.1686235341536, type:0, wire:7
x:-1.6581598386220442, y:-218.25061650470457, type:0, wire:0
x:-208.7597127013001, y:-200.33929291056936, type:0, wire:76
x:284.87838849558517, y:-464.4062554894006, type:1, wire:86
x:419.86475923576586, y:426.1877166646594, type:0, wire:86
x:379.9966422887303, y:-276.6109996912171, type:1, wire:86
x:-170.88198340496285, y:426.0438589290222, type:1, wire:64
x:464.70558369786073, y:102.1377381101546, type:0, wire:66
x:-122.5873602432851, y:-219.9830201161378, type:1, wire:41
x:472.2776641044783, y:143.313604803214, type:1, wire:41
x:199.87505679362403, y:160.30854027859883, type:0, wire:26
x:82.71608448264254, y:114.01595949287469, type:0, wire:101
x:300.87685431524807, y:-278.8571222538011, type:0, wire:0
x:200.35039558121383, y:2.872751121413046, type:1, wire:0
x:-352.51530153331566, y:-82.15495740687314, type:0, wire:55
x:-59.305965929735045, y:262.0497768249594, type:1, wire:40
x:-118.8485502133409, y:395.35432221000656, type:0, wire:85
x:-348.5526423737031, y:-298.1064182091073, type:0, wire:0
x:-455.9267417075471, y:220.36289726759932, type:1, wire:101
x:96.58815296159113, y:-423.0946401935883, type:0, wire:26
x:-149.9495701712581, y:211.01504294093377, type:1, wire:86
x:184.72430796887863, y:251.7663783691033, type:0, wire:85
x:191.53540343936982, y:166.1629497369879, type:0, wire:45
x:289.47181689989895, y:-474.7166667759602, type:0, wire:0
x:191.88036516773892, y:-127.32047004376443, type:1, wire:5
x:-413.2395945421958, y:-477.84532850392446, type:0, wire:26
x:334.92772262592575, y:-268.1990690518885, type:0, wire:85
x:-418.2241144103907, y:-55.55930104542358, type:0, wire:49
x:452.805247070142, y:34.28615008589206, type:0, wire:71
x:-160.59356990055858, y:351.31885360278295, type:1, wire:73
x:351.94584220149346, y:-130.07471928193957, type:0, wire:7
x:-100.91120445025894, y:-181.24523902309684, type:0, wire:46
x:-170.45998566221317, y:410.64375637144553, type:0, wire:73
x:16.62149733617121, y:283.6997700783106, type:0, wire:41
x:422.9454195819734, y:80.62173408772546, type:0, wire:5
x:420.3294910811762, y:-487.71608816696113, type:0, wire:80
x:235.9397292705542, y:-225.12609710003278, type:0, wire:7
x:95.30492524620928, y:53.174662348270495, type:0, wire:43
x:-6.17232276419719, y:-292.2831457972966, type:0, wire:44
x:196.8799555613158, y:493.98605171777854, type:1, wire:10
x:-179.76511785822012, y:-138.99828025392628, type:1, wire:-1
x:-216.17490252343677, y:142.0048939393499, type:0, wire:101
x:-261.9685165139406, y:270.99315010706755, type:0, wire:44
x:243.45844417813743, y:488.40441915071045, type:1, wire:100
x:74.51947174913008, y:-32.979150968089726, type:0, wire:86
x:-42.21206207363329, y:249.56793011009597, type:0, wire:43
x:194.9218834232906, y:-156.92778276506954, type:0, wire:2
x:-368.16065479738927, y:-164.93497774611387, type:0, wire:5
x:-18.907849175521505, y:-413.51491710903895, type:0, wire:51
x:205.5022194937357, y:-273.9001620997203, type:0, wire:60
x:62.58701231378228, y:245.6170780999606, type:0, wire:43
x:81.93966513107199, y:0.8467881518662415, type:0, wire:5
x:-95.65628258127157, y:46.877330088427726, type:0, wire:86
x:317.16812288565376, y:157.3898747291367, type:0, wire:43
x:112.89091229666461, y:-58.00907213285153, type:0, wire:5
x:-49.856411766931146, y:339.08848319269964, type:0, wire:101
x:276.07011007073396, y:3.792579625128667, type:0, wire:0
x:-440.6359808483536, y:16.932053479888932, type:1, wire:5
x:215.08717348433154, y:281.49890243654266, type:1, wire:62
x:-5.396980402867982, y:-420.3470971366022, type:0, wire:0
x:130.1472877356974, y:-274.8167970319348, type:0, wire:43
x:324.40308903825, y:-107.34934197198051, type:0, wire:53
x:-256.5832692015124, y:-147.24959624013437, type:1, wire:26
x:73.10302213608634, y:215.78756437203685, type:1, wire:101
x:113.06350346548396, y:101.9239904765846, type:0, wire:86
x:56.745573490970116, y:135.5183485084196, type:0, wire:43
x:-251.2530135421245, y:-287.2249491821378, type:0, wire:49
x:-397.9820781834012, y:-142.8917842784257, type:0, wire:27
IND:1
#fitness: 	(1.0, 960.0, 26752.86512370994)
AP:100
x:188.66500522889035, y:-154.70461953798903, type:0, wire:43
x:-150.8448617398821, y:372.228915925777, type:1, wire:75
x:-105.18296299744382, y:-415.67328963109804, type:1, wire:100
x:518.0134211257566, y:-52.89367164266724, type:0, wire:42
