
################################ SETTINGS ###################################
#RUN ID: 1529778533.3549898
#Genetic Algorithm Parameters:
#Max gen: 		700
#Migrations Interval: 	100	with 2% migrating individual
#N Islands:	4 with pop size:	300
#INDPB:	0.07
#Tournament size:	 3
#CXPB:	0.5	MUTPB:	0.25
##############################################################################
N_INDIVIDUALS:20
IND:0
#fitness: 	(1.0, 635.0, 16270.1368932858)
AP:100
x:-296.76201835170974, y:397.4996268809695, type:0, wire:101
x:-131.47035661306097, y:-422.32379458973526, type:0, wire:73
x:106.08383625859648, y:-240.5700613965029, type:1, wire:48
x:88.90903081870111, y:-166.2118640157092, type:1, wire:83
x:17.288520483188478, y:-73.20533581012688, type:1, wire:83
x:-189.7075188835426, y:369.34146522095193, type:1, wire:101
x:-443.9033494538347, y:-236.41567650021076, type:1, wire:27
x:-293.6289909889372, y:-152.32323159497096, type:1, wire:68
x:28.346766895845818, y:-411.49754710510547, type:0, wire:84
x:-341.13772967286815, y:-108.48003081936211, type:0, wire:9
x:140.0684486201792, y:-281.6910369348105, type:0, wire:14
x:340.6258880295288, y:-58.53465234206698, type:0, wire:40
x:485.73170680356804, y:147.68546816809885, type:0, wire:88
x:399.39667513477366, y:-368.19444354425076, type:1, wire:18
x:-399.3512486082709, y:182.31271587126562, type:0, wire:80
x:-298.16484080967473, y:-247.31287732394205, type:0, wire:26
x:171.27222228308273, y:286.68013409104856, type:0, wire:39
x:241.0432354298674, y:463.1755675012784, type:0, wire:98
x:57.67556258591499, y:40.08430094875662, type:1, wire:64
x:48.28572151732657, y:-363.13084403491945, type:1, wire:100
x:1.7387800571975651, y:409.41730825036854, type:0, wire:101
x:162.98084142021625, y:-331.8473120218022, type:0, wire:18
x:171.5378768027298, y:-182.15164155468565, type:0, wire:40
x:243.89275283234565, y:45.95561773931291, type:1, wire:26
x:312.7842753718837, y:-126.5017359216237, type:0, wire:23
x:-107.9277213902847, y:207.07831414243606, type:0, wire:101
x:-273.8252422620636, y:102.03058368119571, type:0, wire:101
x:-406.4034293128337, y:-432.07116970160877, type:1, wire:26
x:351.40363059171153, y:23.232726257864783, type:0, wire:67
x:-38.642037295627766, y:40.816160656479525, type:0, wire:101
x:480.43750680070264, y:288.6283408395921, type:1, wire:-1
x:-228.43055351146853, y:-337.93406685148307, type:1, wire:100
x:312.45556977356705, y:322.7825893715356, type:0, wire:63
x:307.7454537721746, y:-404.61155698997595, type:1, wire:95
x:-125.37234929765523, y:200.1531410132666, type:0, wire:73
x:83.25032942335348, y:34.38564392104726, type:1, wire:23
x:-294.0709245235818, y:-343.9580132613369, type:0, wire:54
x:-417.7766138975547, y:-231.3316600838708, type:1, wire:58
